 População Residente - Estimativas para o TCU - Brasil
População estimada por Ano e Unidade da Federação
Período:1992-1995, 1997-2019
"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2019";1777225;881935;4144597;605761;8602865;845731;1572866;7075181;3273227;9132078;3506853;4018127;9557071;3337357;2298696;14873064;21168791;4018650;17264943;45919049;11433957;7164788;11377239;2778986;3484466;7018354;3015268;210147125
 Fonte: IBGE - Estimativas de população
 Notas:
 
 Para alguns anos, os dados aqui apresentados não são comparáveis com as
 projeções intercensitárias segundo faixa etária e sexo,
 devido a diferenças metodológicas para estimar e projetar os contingentes populacionais.
 Veja a nota técnica para detalhes e situações especiais.
 Devido a decisões judiciais, as populações apresentadas para alguns municípios não é a estimada pelo IBGE. Em decorrência desta situação,
 os totais apresentados para Unidades da Federação e para o Brasil podem também não corresponder ao estimado pelo IBGE. Veja também a
 nota técnica.
 
