,ano,ro,ac,am,rr,pa,ap,to,ma,pi,ce,rn,pb,pe,al,se,ba,mg,es,rj,sp,pr,sc,rs,ms,mt,go,df
16,2010-01-01,97.74,91.17,88.78,90.75,100.8,82.38,93.1,104.64,93.99,0.18,0.16,0.63,0.34,0.31,0.08,94.25,95.69,1.03,0.36,19.21,71.63,23.97,29.78,93.59,93.56,102.25,2.97
17,2011-01-01,103.51,96.38,89.88,93.11,95.98,80.74,93.4,101.53,92.71,0.11,0.08,0.41,0.38,0.27,0.11,92.26,99.51,0.66,0.33,20.45,77.49,28.92,34.84,98.91,95.93,107.96,3.86
18,2012-01-01,103.02,94.45,93.64,83.87,95.0,84.54,93.88,100.62,97.29,0.09,0.11,0.47,0.32,0.29,0.06,91.4,97.85,0.8,0.39,20.45,76.89,29.6,49.17,98.32,97.67,102.55,3.09
19,2013-01-01,103.68,84.12,91.35,80.36,90.07,82.57,93.22,99.37,90.34,0.2,0.12,0.58,0.42,0.35,0.06,92.41,99.9,0.56,1.04,20.45,81.72,28.83,61.58,107.12,99.79,103.59,87.56
20,2014-01-01,103.17,58.78,92.46,86.89,70.42,71.06,86.67,88.49,76.49,0.23,0.3,0.53,0.34,0.4,0.1,85.72,85.33,0.44,1.01,19.56,75.36,29.07,55.11,115.39,108.56,91.71,90.51
21,2015-01-01,106.06,66.67,92.52,93.64,57.71,76.8,83.28,87.32,74.2,0.36,0.38,0.58,0.5,0.51,0.36,83.29,91.0,0.39,0.51,19.7,76.99,28.02,55.61,108.81,94.98,84.8,62.37
22,2016-01-01,114.05,64.33,75.83,87.95,59.57,91.49,77.26,68.62,71.72,0.44,0.41,0.78,0.51,0.5,0.4,69.45,86.03,0.42,0.22,18.63,67.58,30.75,61.16,93.76,89.14,79.54,132.73
23,2017-01-01,107.67,62.66,70.32,96.83,59.14,61.48,73.28,65.86,69.85,1.66,0.48,1.06,0.89,1.17,0.53,72.81,81.76,61.95,26.44,24.09,69.74,28.98,55.51,86.08,82.06,73.95,77.95
24,2018-01-01,89.69,66.74,69.88,72.72,63.11,65.56,81.08,72.36,76.92,1.12,0.8,1.07,1.12,3.11,1.19,69.14,94.19,73.87,49.26,60.18,75.96,59.63,58.65,90.15,84.65,78.68,83.59
25,2019-01-01,81.42,68.69,74.1,69.77,62.6,66.99,76.47,66.75,73.4,0.78,0.65,1.16,1.15,2.78,1.22,66.44,85.71,70.89,55.21,72.3,83.19,84.43,63.72,88.88,75.92,73.43,79.19
26,2020-01-01,71.75,49.21,59.27,50.37,48.93,36.91,71.0,51.24,62.37,9.65,3.05,13.27,27.26,8.49,0.82,61.06,80.22,64.67,40.01,68.95,75.96,77.24,60.07,66.42,70.67,66.09,74.28
27,2021-01-01,61.9,40.28,47.83,27.43,38.99,30.1,65.4,41.88,54.31,21.67,8.9,35.87,40.36,37.25,2.13,48.94,64.65,58.29,40.76,56.62,59.51,60.57,49.58,58.74,57.47,55.39,68.89
